References,Family,Status,ID Number,Name,Name UD,Illustration,Gloss,English equivalent,Norwegian equivalent,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. type of construction,Synt. func. of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type,Usage label,Anchor words,Common fillers,Comment,Dependency Structure,Dependency Structure of Illustration,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Polarity value,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
"Endresen, Anna, Laura A. Janda. 2020. “Taking Construction Grammar One Step Further: Families, Clusters, and Networks of Evaluative Constructions in Russian”. In: Mike Putnam, Matthew Carlson, Antonio Fábregas, Eva Wittenberg, eds. Defining Construction: Insights into the Emergence and Generation of Linguistic Representations (special issue of Frontiers in Psychology).",Concern,"Attitude of indifference vs. care, unconcern",273,"подумаешь, XP!","подумаешь, Cl!","Подумаешь, немного опоздал!",,"So what if X! / Big deal, X!","pytt, ...",C1,"Конструкция обозначает, что говорящий относится к некоторой [ситуации]Situation или [обстоятельству]Circumstances с пренебрежением, иронией, насмешкой. Говорящий считает, что эта ситуация или обстоятельство не является чем-то важным, что ими можно пренебречь, проигнорировать, не принимать во внимание.","This construction indicates that the speaker refers to a [situation]Situation or [circumstance]Circumstances with disdain, irony or derision. The speaker believes that this situation or circumstance is  unimportant, and that it can be neglected, ignored or not taken into account.","Konstruksjonen betyr at taleren forholder seg til en gitt [situasjon]Situation eller [omstendighet]Circumstances med ringeakt, ironi eller spydighet. Taleren mener at situasjonen eller omstendigheten ikke har noe viktig ved seg og at man kan neglisjere, ignorere eller overse den.","Подумаешь, [обидится!]Event","Подумаешь, [тройка]Event! Это необязательный предмет.","Подумаешь, [опоздал на пять минут]Event - нельзя что ли подождать было.","- У неё муж старый. - Подумаешь, [старый]Property - зато какой богатый!",,XP,Clause or XP with parentheticals,Parenthetical,Not Applicable,Verb,Attitude,Unconcern,,,,,,,,Exclamatory,Colloquial,подумаешь,,No comment yet,"[root [parataxis подумаешь], Cl!]","[root [parataxis Подумаешь], [advmod немного] опоздал!]",,,,,,,Acceptance: Concern,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,
См. также статью Горлова А. А. Гортативные конструкции в русском языке // Acta Linguistica Petropolitana. Труды Института лингвистических исследований. 2016. Т. XII. №1. С. 379–392.,A family of causative constructions,ЕВ,274,пошли/пойдём VP-Pfv.Fut/VP-Ipfv.Inf,пошли/пойдём VP-Perf.Fut/VP-Imp.Inf,Пошли посмотрим фильм!,,"Let's go X, e. g. Let's go see that horse.",la oss gå og X,B1,"Конструкция обозначает, что [говорящий]Speaker предлагает [собеседнику]Addressee вместе совершить некоторое [действие]Action. Для совершения этого действия им нужно переместиться в другое место.",,"Konstruksjonen betyr at [taleren]Speaker foreslår overfor [samtalepartneren]Participant at de sammen skal utføre en viss [handling]Action. For å utføre denne handlingen, må de forflytte seg til et annet sted.","Может быть, пойдем [гулять на улицу]Action?",Пошли [спать]Action. Сейчас все равно ничего не сделаешь.,"― Пока географ не приехал, пошли [поедим]Action, я для вас кое-что вкусненькое приготовил.","Пойдём [посмотрим]Action, кто это к нам приехал.",Сколько можно возиться? Пошли [починим эту машину]Action.,"VP, Pfv, Fut, Ipfv, Inf",Clause,Verb Predicate,"Serial Verb Construction, Verb Pattern",Verb,Causation,Direct,Purpose,,,,,,"Action, Addressee, Speaker",Exclamatory,Colloquial,"пошли, пойдём","поедим, спать, посмотрим, поговорим, гулять, погуляем",No comment yet,[root пошли [xcomp VP-Pfv.Fut]]+[root пошли [xcomp VP-Pfv.Inf]]+[root пойдём [xcomp VP-Pfv.Fut]]+[root пойдём [xcomp VP-Pfv.Inf]],[root Пошли [xcomp посмотрим [obj фильм]]!],,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
No references,Continuativity: Since remote past,EV4,275,пока что Cl,пока что Cl,Пока что мы видели только один магазин.,,"so far, X / for now, X / X yet",hittil...,B2,"Конструкция обозначает, что [ситуация]Situation, актуальная в данный момент, не поменяется в ближайшем будущем, хотя в дальнейшем может поменяться.",,"Konstruksjonen betyr at nåværende [situasjon]Situation ikke vil bli endret med det første, selv om den kan bli endret senere. ","Зарплату повысили. В общем, пока что [меня все устраивает]Situation.","Несмотря на третий год проведения мероприятия, [новые исследователи пока что не появились]Situation.","Бабушка говорит: позже будет видно, а пока что [живите у меня]Situation.",[Я пока что молода]Situation! ― опомнилась Ольга.,Пока что [Ярославль мало напоминает Париж и Лондон]Situation.,Cl,Clause and Modifier Construction,Modifier,Multiword Conjunction,Conjunction,Time,Temporal boundary,Phase of action,Continuative,,,,,Situation,Declarative,NA,"пока, что",,No comment yet,[root [advmod пока [fixed что]] Cl],[root [advmod Пока [fixed что]] [nsubj мы] видели [obj [advmod только] [nummod один] магазин].],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuative,,,,,,,,,,,,,,,,,,Temporal boundary,,,,
No references,,,276,NP-Nom попасть в NP-Acc,NP-Nom попасть в NP-Acc,Его мама попала в сумасшедший дом.,,NA (different constructions),X havner i Y,B1,,,,"А что, если мое такси не приедет и [я]Participant не попаду [в аэропорт?]Goal","Когда я был мальчиком, [мне в руки]Goal не попала [первая старинная монета]Participant, и я начал заниматься коллекционированием.","[Пуля]Participant попала [в Талькова]Goal, задев сердце и легкое; он умер через несколько минут.",,,"NP, Nom, Acc",Predicate Argument Construction,"Verb Predicate, Government",Negation,"Verb, Preposition",Spatial expression,Path: Goal,,,,,,,,Not applicable,NA,"попасть, в",,No comment yet,[root [nsubj NP-Nom] попасть [obl [case в] NP-Acc]],[root [nsubj [det Его] мама] попала [obl [case в] [amod сумасшедший] дом].],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Path: Goal,,,,,,,
No references,,Даша 25 апреля,277,почему бы (и) не VP-Inf?!,почему бы (и) не VP-Inf?!,Почему бы не пройтись?!,,Why not X?,hvorfor ikke...,B2,"Конструкция обозначает, что говорящий побуждает другого участника или самого себя выполнить некоторое [действие]Action, которое говорящий считает уместным и желательным в определенной ситуации. Говорящий полагает, что для выполнения этого действия сложились подходящие условия и нет причины, по которой от этого следовало бы отказаться.",,,"Мы все умрем, почему бы не [повеселиться]Action?",Почему бы не [перестать вредничать]Action и не [присоединиться]Action?,"А в самом деле, почему бы и не [сходить в кино]Action…","То, что позволительно в неформальной переписке, пока не принято в более официальных текстах. Хотя почему бы не [показать, что здесь я говорю не совсем серьёзно]Action?","Почему бы не [взяться за повышение профессионального мастерства наших работников]Action, почему бы не [использовать при этом зарубежный опыт]Action? ","VP, Inf",Clause,Modifier,Negation,"Adverb, Particle, Negation Marker",Causation,Indirect,Volition,,,,,,,Interrogative / Exclamatory,Colloquial,"почему, бы, и, не",NA,No comment yet,[root [advmod почему] [aux бы] [advmod и] [advmod не] VP-Inf?!]+[root [advmod почему] [aux бы] [advmod не] VP-Inf?!],[root [advmod Почему] [aux бы] [advmod не] пройтись?!],,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified
No references,,,278,VP при условии NP-Gen,VP при условии NP-Gen,Я могу помочь Вам при условии подписания особого соглашения.,,provided X / provided that X / subject to X,hvis... / forutsatt at... ,B2,,,,[Статья будет принята к публикациив журнале]Result при условии [внесения указанных изменений]Condition.,[Юридическая помощь доступна всем]Result при условии [наличия российского паспорта]Condition.,[Это станет возможным]Result при условии [нашей совместной продуктивной работы]Condition.,[В российском парламенте федеральные законы принимаются простым большинством]Result при условии [присутсвия более половины парламентариев]Condition.,,"VP, NP, Gen",Head and Modifier Construction,Modifier,Nominal Pattern,"Preposition, Noun",Condition,,,,,,,,,Not applicable,Formal,"при, условии",,No comment yet,[root VP [obl [case при] условии [nmod NP-Gen]]],[root [nsubj Я] могу [xcomp помочь [iobj Вам] [obl [case при] условии [nmod подписания [nmod [amod особого] соглашения]]]].],,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No references,,,279,при NP-Loc Cl,при NP-Loc Cl,При таком росте он может стать хорошим баскетболистом.,,"with X, Y","Med X, ... / med tanke på X, ...",B1,,,,При [тревожных расстройствах]Condition [людям часто приходится пить таблетки всю жизнь]Result.,"[Удивительно, что [при таком мрачном мировоззрении]Concession [он]Participant ещё и пишет]Result.","Она могла при [желании]Condition [так оскорбить, что никогда и не забудешь]Result.",,,"NP, Loc, Cl",Clause and Modifier Construction,Modifier,Not Applicable,Preposition,Condition,,,,,,,,,Declarative,Formal,при,,No comment yet,[root  [obl [case при] NP-Loc] Cl],[root  [obl [case При] [det таком] росте] [nsubj он] может [xcomp стать [xcomp [amod хорошим] баскетболистом]].],,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No references,,Д,280,NP-Nom принять NP-Acc за NP-Acc,NP-Nom принять NP-Acc за NP-Acc,Он принял того мужчину за своего отца.,,X takes Y for Z / X mistakes Y for Z,X tok Y for Z / X tror Y er Z ,B2,"Конструкция обозначает, что [участник]Cognizer ошибочно считает [другого участника]Stimulus [тем, кем он на самом деле не является]Status. Конструкция также может обозначать, что участник ошибочно отождествляет [некоторый объект]Theme, [действие]Action или [состояние]State с [другим]Status. В конструкции может использоваться глагол совершенного вида ""принять"" и глагол несовершенного вида ""принимать"".",,"Konstruksjonen betyr at [en deltaker]Cognizer feilaktig holder [en annen deltaker]Stimulus for [én vedkommende faktisk ikke er]Status. Konstruksjonen kan også bety at en deltaker feilaktig identifiserer [et gitt objekt]Theme, [en handling]Action eller [en tilstand]State med [en annen]Status. Verbene som kan brukes i denne konstruksjonen, er det perfektive verbet ""принять"" og det imperfektive verbet ""принимать"".","Думаю, [он]Cognizer принял [нас]Stimulus [за туристов из столицы]Status и захочет выпросить денег.","Правда, [она]Cognizer этого не знает, потому что принимает [меня]Stimulus за [Мухина]Status.","То ли [он]Cognizer не понял, как испугалась его девушка, то ли принял [ее ужас]State [за восторг]Status.",Глеб протянул руку и отвёл волосы с лица Мариши. [Мариша]Cognizer приняла [этот жест]Action [за ласку]Status.,"Впрочем, [многие читатели]Cognizer всерьез приняли [книгу]Theme [за реальный учительский дневник]Status и полагали, что ее автора действительно зовут Марина Николаевна.","NP, Nom, Pst, Acc",Predicate Argument Construction,"Verb Predicate, Government",Argument Structure,"Verb, Preposition",Comparison,Imitation,,,,,,,"Theme, Action, State, Stimulus, Cognizer, Status",Not applicable,NA,"принять, за",Not applicable,No comment yet,[root [nsubj NP-Nom] принять [obj NP-Acc] [obl [case за] NP-Acc]],[root [nsubj Он] принял [obj [det того] мужчину] [obl [case за] [det своего] отца].],,,,,,,,,,,,,Imitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No references,Discontent,ЕВ1,281,(NP-Dat) пришлось/придётся VP-Inf,(NP-Dat) пришлось/придётся VP-Inf,Пришлось выпить лекарство.,,X had to Y,X måtte/må gjøre Y,B1,"Конструкция обозначает, что [участник]Experiencer вынужден выполнить [действие]Action против своей воли, то есть несмотря на то, что ему совсем не хочется выполнять это действие.",,"Konstruksjonen betyr at [deltakeren]Experiencer er nødt til å utføre [handlingen]Action mot sin vilje, dvs. til tross for at vedkommende slett ikke har lyst til å utføre denne handlingen.","Волонтерская работа отнимала у Васи много времени, и [ему]Experiencer пришлось [бросить работу менеджера]Action.","Алиса прямо на ходу повисла на нём, обхватила руками. [Ему]Experiencer пришлось [остановиться]Action.",Придется [немного подождать]Action: эксклюзивная пара обуви будет доставлена только через месяц.,"Сейчас [нам]Experiencer придется [брать реальные кредиты]Action, чтобы гасить в первую очередь кредиторские задолженности.",[Ей]Experiencer приходится [работать по 10-12 часов в сутки]Action.,"NP, Dat, VP, Inf",Matrix and Infinitival Complement Construction,Matrix Predicate,Not Applicable,Verb,Root modality,Necessity: External,Causation,Direct,Attitude,Negative,,,"Experiencer, Action",Not applicable,NA,"пришлось, придётся","работать, бросить, согласиться",No comment yet,[root [iobj NP-Dat] пришлось [csubj VP-Inf]]+[root [iobj NP-Dat] придётся [csubj VP-Inf]]+[root пришлось [csubj VP-Inf]]+[root придётся [csubj VP-Inf]],[root Пришлось [csubj выпить [obj лекарство]].],,,,,,,Dissatisfaction: Discontent,,,Direct,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,,,,Necessity: External: Obligation per se (impersonal),,,,,,,,,,,,
См. также Холодилова М. А. Нашедшего просьба позвонить: иллокуция и аргументная структура // Мищенко Д. Ф. Тринадцатая Конференция по типологии и грамматике для молодых исследователей. Тезисы докладов и лекций. Санкт-Петербург: 2016. С. 128–131.,A family of causative constructions; A family of prohibiticve constructions.,ЕВ,282,просьба (не) VP-Inf,просьба (не) VP-Inf,Просьба не курить!,,Please do not X,vennligst ikke X,A2,"Конструкция выражает вежливое требование или просьбу выполнить (или не выполнять) [некоторое действие]Action. Как правило, участник, к которому обращено высказывание, не упоминается, потому что понятен из контекста. Конструкция характерна для официальной речи, а также встречается на табличках и вывесках. В случае требования не совершать действие, имеется в виду действие, которое может произойти в будущем или происходит в данный момент. Обычно выполнение данного действия запрещено правилами, установленными некоторым заведением или на некоторой территории. Когда конструкция используется как отдельное предложение, она выражает более категоричное и строгое побуждение (примеры 1, 2) или запрет (пример 3) по сравнению с употреблениями конструкции со словом «просьба» в косвенном падеже (примеры 4, 5).","This construction expresses a polite demand or request to carry out (or not carry out) an [action]Action. As a rule, the participant to whom the statement is addressed is not mentioned, because it is clear from the context. The construction is typical for official speech, and can also be found on signs. If the construction is to express a request to not carry out an action, it refers to an action that may occur in the future or is ongoing. Usually carrying out the action is prohibited by the rules adopted by some establishment or on some territory. When the construction is used as a separate sentence, it expresses a more adament and strict urge (examples 1,2) or prohibition (example 3) compared to when the construction contains the word ""просьба"" in an oblique case (example 4 and 5).","Konstruksjonen uttrykker et høflig krav eller en anmodning om å utføre (eller ikke utføre) [en gitt handling]Action. Som regel nevnes ikke deltakeren utsagnet er rettet til, ettersom det fremgår av konteksten hvem vedkommende er. Konstruksjonen er karakteristisk for offisiell språkbruk og forekommer på skilt og oppslag. Når det dreier seg om et krav om ikke å utføre en handling, menes det en handling som kan inntreffe i fremtiden eller som pågår i øyeblikket. Vanligvis er forbudet mot å utføre handlingen nedfelt i regler som er innført av en viss instans eller på et visst område. Når konstruksjonen brukes som en selvstendig setning, uttrykker den en mer kategorisk og streng anmodning (eksempel 1 og 2) eller forbud (eksempel 3) enn når den står sammen med ordet 'просьба' i en oblik kasus (eksempel 4 og 5).",В связи с ремонтом просьба [помыть двери и полы на этажах]Action.,"― Приехали, ― сообщил Иванов, ― поезд дальше не пойдет, просьба [освободить вагоны]Action.","Я встал, подошел к выходу, перевесил табличку «Просьба не [беспокоить]Action» на внешнюю ручку двери, закрыл ее, а затем еще и запер изнутри.",Пресс-служба администрации города Уфы обратилась к журналистам с просьбой [придерживаться делового стиля в одежде]Action.,Никакие просьбы [кричать потише]Action или [хотя бы сменить пластинку]Action не действовали.,"VP, Inf",Clause,Argument,Negation,"Noun, Negation Marker",Causation,Direct,Prohibition,Attenuated prohibitive,Request,,,,Action,Exclamatory,Formal,"просьба, не","курить, шуметь, беспокоить, помыть, явиться, прийти",No comment yet,[root просьба [csubj [advmod не] VP-Inf]]+[root просьба [csubj VP-Inf]],[root Просьба [csubj [advmod не] курить]!],,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,Attenuated prohibitive,,,,Unspecified,,,,,,,,,,,,,,
См. также Добрушина Н. Статус конструкций с частицами пусть и пускай в русском языке // Russian Linguistics. 2019. № 43. С. 1–17.,,,283,"пусть/пускай (даже) (и) Cl, Cl ","пусть/пускай (даже) (и) Cl, Cl ","Пускай вода холодная, всё равно буду плавать.",,"even though X, Y / although X, Y","selv om ..., ... ",B1,,,,"Пускай [мы плохо понимаем, чего хотим]Concession, [но твёрдо знать, чего не хотим, ― тоже важно]Situation.","И пусть [книга ветхая]Concession, [но очевидно, она может обрести вторую жизнь]Situation.","Очень радостно становится, от того, что [есть еще талантливые художники]Situation, пусть даже и [узнаем мы о них случайно]Concession.",,,Cl ,Biclausal Construction,Discourse Particle,Not Applicable,"Particle, Adverb",Concession,Extreme limit,,,,,,,,Declarative,Colloquial,"пусть, пускай, даже, и",,No comment yet,"[root [advcl [advmod пусть] [advmod даже] [advmod и] Cl], Cl]+[root [advcl [advmod пусть] [advmod даже] Cl], Cl]+[root [advcl [advmod пусть] [advmod и] Cl], Cl]+[root [advcl [advmod пусть] Cl], Cl]+[root [advcl [advmod пускай] [advmod даже] [advmod и] Cl], Cl]+[root [advcl [advmod пускай] [advmod даже] Cl], Cl]+[root [advcl [advmod пускай] [advmod и] Cl], Cl]+[root [advcl [advmod пускай] Cl], Cl]","[root [advcl [advmod Пускай] [nsubj вода] холодная], [advmod всё [fixed равно]] [aux буду] плавать.]",,,,,,,,,,,,,,,Extreme limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endresen, Anna, Laura A. Janda. 2020. “Taking Construction Grammar One Step Further: Families, Clusters, and Networks of Evaluative Constructions in Russian”. In: Mike Putnam, Matthew Carlson, Antonio Fábregas, Eva Wittenberg, eds. Defining Construction: Insights into the Emergence and Generation of Linguistic Representations (special issue of Frontiers in Psychology).",Concern,1,284,(Ну) (и) пусть/пускай XP,(Ну) (и) пусть/пускай XP,– Тебя же выгонят из института! – Ну пусть выгонят.,,Let them X!,"La X Y, f.eks. la ham komme",B1,,,,"— Я очень боюсь, что все мои одноклассники начнут обсуждать моё поведение. — Ну и пусть [обсуждают]Concession.",Она ждала ответа и думала: “Ну и пусть [откажет]Concession”.,—Он пошёл в кино без тебя. — И пусть [идет]Concession. Я и не хотела ни капельки!,"– Лиза, [твой отец никогда тебе этого не позволит]Concession! – Ну и пусть! Почему я должна спрашивать его разрешения?",Пускай [он смеётся]Concession – все равно завтра будет плакать.,XP,Clause,Discourse Particle,Not Applicable,Particle,Causation,Direct,Attitude,Unconcern,,,,,,Exclamatory,Colloquial,"ну, и, пусть, пускай",,No comment yet,[root [discourse ну] [cc и] [advmod пусть] XP]+[root [discourse ну] [advmod пусть] XP]+[root [advmod пусть] XP]+[root [discourse ну] [cc и] [advmod пускай] XP]+[root [discourse ну] [advmod пускай] XP]+[root [advmod пускай] XP],[root – [obj Тебя [advmod же]] выгонят [obl [case из] института]!]\n[root – [discourse Ну] [advmod пусть] выгонят.],,,,,,,Acceptance: Concern,,,Direct,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,
No references,,,285,"ради бога/всего святого/Христа, VP-Imp!","ради бога/всего святого/Христа, VP-Imper!","Ради бога, успокойся!",,for God's/Christ's/heaven's/goodness/fuck's sake!,for Guds skyld,B1,,,,"Надеюсь, сейчас тебе лучше? Ради бога, [ответь мне]Action, пожалуйста.","― Юрий Иванович, ради Бога, [простите меня]Action! Сама не знаю, что на меня нашло.","Ради бога, [успокойтесь]Action, никто вас тут насильно держать не будет!","Мне нужно двадцать тысяч на операцию. Ради бога, [выручайте]Action! Дайте взаймы, я верну…","Ради Христа, [перестаньте говорить эти глупости]Action.","VP, Imp",Clause or XP with parentheticals,Parenthetical,Prepositional Phrase,"Preposition, Noun, Pronoun, Adjective",Request,,,,,,,,,Exclamatory,Colloquial,"ради, бога, всего, святого, христа",,No comment yet,"[root [parataxis [case ради] бога], VP-Imp!]+[root [parataxis [case ради] [det всего] святого], VP-Imp!]+[root [parataxis [case ради] Христа], VP-Imp!]","[root [parataxis [case Ради] бога], успокойся!]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,
No references,,,286,"раз (уж) Cl, (то) Cl","раз (уж) Cl, (то) Cl","Раз уж мы встретились, давайте обсудим эту проблему.",,"(but) since X, Y","siden X, Y",B2,,,,"Раз уж [взялся помогать]Condition, то [не смей отлынивать]Result.","Раз уж [Михаила нет]Condition, то [будем пить с его женой]Result.","Раз Вы уж [упомянули, что любите Россию]Condition, то [расскажите что-нибудь о русском балете]Result.","Раз уж и [тратить время]Condition, то [на что-то полезное]Result.","Раз уж [решил раздеваться]Condition, то [снимай и трусы]Result.",Cl,Connection Construction,"Subordinator, Discourse Particle",Multiword Conjunction,"Conjunction, Particle",Condition,,,,,,,,,Declarative,NA,"раз, уж, то",,No comment yet,"[root [advcl [mark раз] [advmod уж] Cl], [mark то] Cl]+[root [advcl [mark раз] [advmod уж] Cl], Cl]+[root [advcl [mark раз] Cl], [mark то] Cl]+[root [advcl [mark раз] Cl], Cl]","[root [advcl [mark Раз] [advmod уж] [nsubj мы] встретились], [advmod давайте] обсудим [obj [det эту] проблему].]",,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endresen, Anna, Laura A. Janda. 2020. “Taking Construction Grammar One Step Further: Families, Clusters, and Networks of Evaluative Constructions in Russian”. In: Mike Putnam, Matthew Carlson, Antonio Fábregas, Eva Wittenberg, eds. Defining Construction: Insights into the Emergence and Generation of Linguistic Representations (special issue of Frontiers in Psychology).",Confirmation requests,1,287,разве не NP-Nom Cop?,разве не NP-Nom Cop?,Разве не красота?,,Isn’t it an X?,er det ikke X?,B1,,,,"Разве это не [мечта]Theme: в одной квартире жить, а другую сдавать","Он говорит, что не любит математику, но всегда получает в школе хорошие оценки. Разве не [парадокс]Theme?","Ну разве не [катастрофа]Theme, что мой сын будет жить вместе с подобным типом?",Петя постоянно ругается матом и плюё на землю. Разве не [повод]Theme возненавидеть его уже только за одно это?,"Вот, оказывается, как оканчивается жизнь, отданная удовольствию! Трагедией… И разве не [пример]Theme тому жизнь его матери, брошенной отцом…","NP, Nom, Cop",Copula Construction,Discourse Particle,Negation,"Particle, Negation Marker",Assessment,Positive; Negative,,,,,,,,Interrogative / Exclamatory,Colloquial,"разве, не",,No comment yet,[root [advmod разве] [advmod не] NP-Nom [cop Cop]?],[root [advmod Разве] [advmod не] красота?],,,,,,"General assessment: Confirmation requests, Assessment in relation to norms/expectations: Confirmation requests",,,,,,,,,,,,,,,,,,,,,,,,,,,Both Negative and Positive,,,,,,,,,,,,,,,,,,,,
No references,"A family of constructions also describe physical parameters of an object, such as size, length or weight.",ЕВ,288,NP (размером/величиной) с NP-Acc,NP (размером/величиной) с NP-Acc,Собака была размером с лошадь.,,X the size of Y / X as big as Y,X på størrelse med Y / X så stort om Y,B2,"Конструкция обозначает, что некоторый [объект]Theme имеет параметры некоторого [образца]Property, задающего стандарт определенной величины. Объект соответствует этому стандарту приблизительно.",,Konstruksjonen betyr at et [objekt]Theme har samme dimensjoner som en [modell]Property som setter standarden for en bestemt størrelse. Objektet samsvarer med denne standarden på en omtrentlig måte.,"Иное дело лет через двадцать, когда возможности сегодняшнего персонального компьютера сосредоточатся в [устройстве]Theme размером с [мобильный телефон]Property.",Учёные держат в руках [атомы]Theme величиной с [арбуз]Property.,Тут же внесли [торт]Theme размером с [круглый обеденный стол]Property.,"Коала ― [маленький медвежонок]Theme, величиной с [подушку]Property, не больше.","Предположим, что [планета]Theme размером с [Юпитер]Property сформировалась где-то далеко от звезды.","NP, Acc",Head and Modifier Construction,Modifier,Nominal Pattern,"Noun, Preposition",Measure,Size,Comparison,Similarity,,,,,"Property, Theme",Not applicable,NA,"размером, величиной, с","килограмм, грамм, тонна",No comment yet,[dep NP [nmod размером [nmod [case с] NP-Acc]]]+[dep NP [nmod величиной [nmod [case с] NP-Acc]]],[root [nsubj Собака] [cop была] размером [nmod [case с] лошадь].],,,,,,,,,,,,,Similarity,,,,,,,,,,,,,Size,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endresen, Anna, Laura A. Janda. 2020. “Taking Construction Grammar One Step Further: Families, Clusters, and Networks of Evaluative Constructions in Russian”. In: Mike Putnam, Matthew Carlson, Antonio Fábregas, Eva Wittenberg, eds. Defining Construction: Insights into the Emergence and Generation of Linguistic Representations (special issue of Frontiers in Psychology).",Skepticism,1,289,"рассказывай/рассказывайте, Cl","рассказывай/рассказывайте, Cl","Рассказывай, не было денег!",,"Tell me another, ""Х""!",NA,C1,,,,"– Где ты был? – Я работал. – Рассказывай! [Работал он!]Situation Знаю я, как ты работал!","Ну-ну, кому другому рассказывай! Матери-то не надо врать! Думаешь, у меня такого не было?",– Да о чём вы? Рассказывайте сказки! – Память короткая – [вы же мой текст редактировали]Situation! Повторю вкратце.,"Рассказывай мне тут! – разозлившись, закричал он. – [Какой ты на самом деле порядочный!]Situation",,Cl,"Discourse ""Echo"" Construction",Parenthetical,Not Applicable,Verb,Attitude,Skepticism,Reaction to the previous discourse,Disagreement,,,,,,Exclamatory,Colloquial,"рассказывай, рассказывайте",,No comment yet,"[root [parataxis рассказывай], Cl]+[root [parataxis рассказывайте], Cl]","[root [parataxis Рассказывай], [advmod не] было [nsubj денег]!]",,,,,,,Mental attitude: Skepticism,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,Disagreement,,,,,,,,,,,,,,,
No references,,,291,рублей NumCrd,рублей NumCrd,У Маши было рублей сто на книги.,,about X roubles,omtrent X rubler / omkring X rubler / cirka X rubler,B1,,,,Виктории Альбертовне можно было датьлет сорок от силы.,Этот чемодан весит килограмм двадцать - не меньше.,Он должен мне тысяч пять - точно не помню.,,,NumCrd,Head and Modifier Construction,Argument,Inversion,Noun,Measure,Money,Degree of accuracy,Approximate,,,,,,Not applicable,Colloquial,рублей,,No comment yet,[dep рублей [nummod NumCrd]],[root [obl [case У] Маши] было [nsubj рублей [nummod:gov сто]] [obl [case на] книги].],,,,,,,,,,,,,,,,,Approximate,,,,,,,,,Money,,,,,,,,,,,,,,,,,,,,,,,,,,,
